nohup: ignoring input

=======================================================
[1/10] Intersecting 'fruits' and 'animals'
=======================================================

Loading weights:   0%|          | 0/146 [00:00<?, ?it/s]Loading weights: 100%|██████████| 146/146 [00:00<00:00, 3887.41it/s]
[ep 6 | step 380] KL_a=1.0045 KL_b=0.6121 margin_a=3.102 margin_b=4.016 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=5.869 λcore=5.869 | sparsity=26470.4844 total=26472.9863
[ep 6 | step 390] KL_a=1.3813 KL_b=0.6458 margin_a=2.922 margin_b=4.914 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=5.713 λcore=5.713 | sparsity=24334.2539 total=24336.9141
[ep 6 | step 400] KL_a=1.5389 KL_b=0.5479 margin_a=5.660 margin_b=4.086 acc_a=0.12 acc_b=0.00 | λa=0.000 λb=5.810 λcore=5.810 | sparsity=23300.9844 total=23303.8359
[ep 6 | step 410] KL_a=1.5355 KL_b=0.5427 margin_a=3.656 margin_b=4.555 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=5.743 λcore=5.743 | sparsity=21623.6953 total=21626.3789
[ep 6 | step 420] KL_a=1.4964 KL_b=0.6116 margin_a=6.652 margin_b=4.977 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=5.481 λcore=5.481 | sparsity=19320.1309 total=19323.2051
[ep 6 | step 430] KL_a=1.3461 KL_b=0.6341 margin_a=6.555 margin_b=3.156 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=5.294 λcore=5.294 | sparsity=17427.5508 total=17430.3398
[ep 6 | step 440] KL_a=3.7320 KL_b=0.5977 margin_a=2.672 margin_b=2.625 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=5.273 λcore=5.273 | sparsity=16165.2832 total=16167.8281
[ep 7 | step 450] KL_a=2.1038 KL_b=0.8266 margin_a=4.668 margin_b=5.859 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.681 λcore=4.681 | sparsity=13336.6299 total=13339.6748
[ep 7 | step 460] KL_a=2.1552 KL_b=0.5840 margin_a=5.805 margin_b=4.773 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=5.064 λcore=5.064 | sparsity=13375.7490 total=13378.7305
[ep 7 | step 470] KL_a=1.6969 KL_b=0.6148 margin_a=3.430 margin_b=4.414 acc_a=0.12 acc_b=0.12 | λa=0.000 λb=4.909 λcore=4.910 | sparsity=11996.2617 total=11998.9053
[ep 7 | step 480] KL_a=1.9158 KL_b=0.5695 margin_a=4.348 margin_b=4.156 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.897 λcore=4.897 | sparsity=11048.2148 total=11050.9316
[ep 7 | step 490] KL_a=1.7830 KL_b=0.6455 margin_a=3.773 margin_b=4.062 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.606 λcore=4.606 | sparsity=9577.0742 total=9579.7158
[ep 7 | step 500] KL_a=2.3544 KL_b=0.5755 margin_a=5.457 margin_b=3.883 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.647 λcore=4.647 | sparsity=8888.7881 total=8891.6133
[ep 8 | step 510] KL_a=1.4225 KL_b=0.5826 margin_a=5.082 margin_b=3.336 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.518 λcore=4.518 | sparsity=7938.3330 total=7940.9634
[ep 8 | step 520] KL_a=3.3721 KL_b=0.7001 margin_a=6.398 margin_b=5.023 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.145 λcore=4.145 | sparsity=6681.4175 total=6684.5610
[ep 8 | step 530] KL_a=1.1317 KL_b=0.6112 margin_a=4.676 margin_b=3.414 acc_a=0.00 acc_b=0.12 | λa=0.000 λb=4.205 λcore=4.205 | sparsity=6207.7495 total=6210.3262
[ep 8 | step 540] KL_a=3.4647 KL_b=0.6516 margin_a=6.227 margin_b=4.203 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.020 λcore=4.020 | sparsity=5430.9033 total=5433.9170
[ep 8 | step 550] KL_a=1.7400 KL_b=0.6338 margin_a=4.855 margin_b=5.406 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.953 λcore=3.953 | sparsity=4880.2158 total=4883.0918
[ep 8 | step 560] KL_a=1.2805 KL_b=0.4811 margin_a=4.156 margin_b=3.938 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=4.148 λcore=4.148 | sparsity=4675.9912 total=4678.5820
[ep 9 | step 570] KL_a=0.8081 KL_b=0.7166 margin_a=3.664 margin_b=4.688 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.531 λcore=3.531 | sparsity=3630.8474 total=3633.4658
[ep 9 | step 580] KL_a=2.0932 KL_b=0.6101 margin_a=1.867 margin_b=5.219 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.636 λcore=3.636 | sparsity=3407.7725 total=3410.3926
[ep 9 | step 590] KL_a=1.2124 KL_b=0.4969 margin_a=3.266 margin_b=3.852 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.768 λcore=3.768 | sparsity=3217.2983 total=3219.8052
[ep 9 | step 600] KL_a=1.9263 KL_b=0.5175 margin_a=2.508 margin_b=4.445 acc_a=0.00 acc_b=0.00 | λa=0.000 λb=3.622 λcore=3.622 | sparsity=2815.1699 total=2817.7385
