loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 17403.75it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 4851.87it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 159.70it/s]Loading weights:  22%|██▏       | 57/254 [00:00<00:00, 304.18it/s]Loading weights:  37%|███▋      | 95/254 [00:00<00:00, 337.37it/s]Loading weights:  54%|█████▍    | 138/254 [00:00<00:00, 372.44it/s]Loading weights:  69%|██████▉   | 176/254 [00:00<00:00, 374.11it/s]Loading weights:  85%|████████▌ | 216/254 [00:00<00:00, 380.33it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 359.56it/s]
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 100 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[22:27:37] epoch 42/100 kl=0.0054 task=0.0056 sparsity=4.1336 train_acc=1.0000 gates_open=76.9% (17s) | val acc 1.0000
[22:28:03] epoch 43/100 kl=0.3009 task=0.3012 sparsity=4.1194 train_acc=0.9238 gates_open=76.9% (17s) | val acc 1.0000
[22:28:29] epoch 44/100 kl=0.0281 task=0.0284 sparsity=4.1052 train_acc=0.9863 gates_open=76.6% (17s) | val acc 1.0000
[22:28:56] epoch 45/100 kl=0.3744 task=0.3747 sparsity=4.0907 train_acc=0.9355 gates_open=75.9% (17s) | val acc 1.0000
[22:29:22] epoch 46/100 kl=0.2632 task=0.2635 sparsity=4.0764 train_acc=0.9492 gates_open=75.6% (17s) | val acc 1.0000
[22:29:48] epoch 47/100 kl=0.0190 task=0.0192 sparsity=4.0618 train_acc=1.0000 gates_open=75.1% (17s) | val acc 1.0000
[22:30:15] epoch 48/100 kl=0.0936 task=0.0938 sparsity=4.0470 train_acc=0.9629 gates_open=74.7% (17s) | val acc 1.0000
[22:30:41] epoch 49/100 kl=0.1816 task=0.1818 sparsity=4.0319 train_acc=0.9805 gates_open=74.3% (17s) | val acc 1.0000
[22:31:07] epoch 50/100 kl=0.1189 task=0.1191 sparsity=4.0168 train_acc=0.9746 gates_open=73.9% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep50.pt | gates open: 517/700 (73.9%)
[22:31:33] epoch 51/100 kl=0.0063 task=0.0064 sparsity=4.0015 train_acc=1.0000 gates_open=73.1% (17s) | val acc 1.0000
[22:32:00] epoch 52/100 kl=0.0703 task=0.0705 sparsity=3.9862 train_acc=0.9785 gates_open=73.1% (17s) | val acc 1.0000
[22:32:26] epoch 53/100 kl=0.0174 task=0.0175 sparsity=3.9711 train_acc=0.9961 gates_open=72.7% (17s) | val acc 1.0000
[22:32:52] epoch 54/100 kl=0.2445 task=0.2448 sparsity=3.9559 train_acc=0.9531 gates_open=72.0% (17s) | val acc 1.0000
[22:33:18] epoch 55/100 kl=0.0965 task=0.0966 sparsity=3.9409 train_acc=0.9727 gates_open=71.6% (17s) | val acc 1.0000
[22:33:45] epoch 56/100 kl=0.2352 task=0.2355 sparsity=3.9260 train_acc=0.9473 gates_open=71.1% (17s) | val acc 1.0000
[22:34:11] epoch 57/100 kl=0.0388 task=0.0390 sparsity=3.9115 train_acc=0.9844 gates_open=70.9% (17s) | val acc 1.0000
[22:34:37] epoch 58/100 kl=0.1013 task=0.1016 sparsity=3.8967 train_acc=0.9883 gates_open=70.4% (17s) | val acc 1.0000
[22:35:03] epoch 59/100 kl=0.0121 task=0.0123 sparsity=3.8824 train_acc=1.0000 gates_open=70.3% (17s) | val acc 1.0000
[22:35:29] epoch 60/100 kl=0.0600 task=0.0601 sparsity=3.8683 train_acc=0.9883 gates_open=70.1% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep60.pt | gates open: 491/700 (70.1%)
[22:35:55] epoch 61/100 kl=0.0263 task=0.0265 sparsity=3.8546 train_acc=0.9922 gates_open=69.7% (17s) | val acc 1.0000
[22:36:22] epoch 62/100 kl=0.0631 task=0.0633 sparsity=3.8410 train_acc=0.9844 gates_open=69.6% (17s) | val acc 1.0000
[22:36:48] epoch 63/100 kl=0.0025 task=0.0026 sparsity=3.8274 train_acc=1.0000 gates_open=69.3% (17s) | val acc 1.0000
[22:37:14] epoch 64/100 kl=0.3920 task=0.3923 sparsity=3.8140 train_acc=0.9434 gates_open=69.3% (17s) | val acc 1.0000
[22:37:40] epoch 65/100 kl=0.0309 task=0.0311 sparsity=3.8014 train_acc=0.9922 gates_open=69.1% (17s) | val acc 1.0000
[22:38:06] epoch 66/100 kl=0.1266 task=0.1267 sparsity=3.7892 train_acc=0.9492 gates_open=69.0% (17s) | val acc 1.0000
[22:38:33] epoch 67/100 kl=0.0035 task=0.0037 sparsity=3.7770 train_acc=1.0000 gates_open=69.0% (17s) | val acc 1.0000
[22:38:59] epoch 68/100 kl=0.1529 task=0.1531 sparsity=3.7646 train_acc=0.9785 gates_open=68.6% (17s) | val acc 1.0000
[22:39:26] epoch 69/100 kl=0.0464 task=0.0465 sparsity=3.7525 train_acc=0.9863 gates_open=68.1% (17s) | val acc 1.0000
[22:39:52] epoch 70/100 kl=0.0018 task=0.0019 sparsity=3.7403 train_acc=1.0000 gates_open=68.0% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep70.pt | gates open: 476/700 (68.0%)
[22:40:18] epoch 71/100 kl=0.1082 task=0.1083 sparsity=3.7284 train_acc=0.9727 gates_open=67.9% (17s) | val acc 1.0000
[22:40:44] epoch 72/100 kl=0.0037 task=0.0038 sparsity=3.7170 train_acc=1.0000 gates_open=67.7% (17s) | val acc 1.0000
[22:41:11] epoch 73/100 kl=0.0271 task=0.0271 sparsity=3.7055 train_acc=0.9902 gates_open=67.4% (17s) | val acc 1.0000
[22:41:37] epoch 74/100 kl=0.2164 task=0.2166 sparsity=3.6944 train_acc=0.9551 gates_open=67.1% (17s) | val acc 1.0000
[22:42:03] epoch 75/100 kl=0.1429 task=0.1431 sparsity=3.6837 train_acc=0.9805 gates_open=66.9% (17s) | val acc 1.0000
