loading meta-llama/Llama-3.2-3B-Instruct (prunable + frozen full) ...
heads+mlp-blocks mode: attention head gates and MLP block gates are active
Fetching 2 files:   0%|          | 0/2 [00:00<?, ?it/s]Fetching 2 files: 100%|██████████| 2/2 [00:00<00:00, 11110.74it/s]
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 3407.00it/s]
[transformers] `torch_dtype` is deprecated! Use `dtype` instead!
Llama model successfully adapted for pruning with block-level gates.
Loading weights:   0%|          | 0/254 [00:00<?, ?it/s]Loading weights:   6%|▋         | 16/254 [00:00<00:01, 158.85it/s]Loading weights:  20%|██        | 52/254 [00:00<00:00, 275.84it/s]Loading weights:  34%|███▍      | 87/254 [00:00<00:00, 309.47it/s]Loading weights:  49%|████▉     | 124/254 [00:00<00:00, 333.30it/s]Loading weights:  63%|██████▎   | 161/254 [00:00<00:00, 343.27it/s]Loading weights:  78%|███████▊  | 197/254 [00:00<00:00, 345.73it/s]Loading weights:  91%|█████████▏| 232/254 [00:00<00:00, 339.64it/s]Loading weights: 100%|██████████| 254/254 [00:00<00:00, 328.32it/s]
resumed log_alpha from masks/sections/sec_03_step_1_word.pt | 279 gates currently closed (still trainable, no locking)
500 example pairs total from 1 file(s):
  train_03_step_1_word.jsonl: 500
caching full-model logits ...
[transformers] `use_return_dict` is deprecated! Use `return_dict` instead!

training: 150 epochs, lr=0.0025, kl=1.0, task=1.0, lambda_mult=4.0
[23:36:32] epoch 95/150 kl=0.2649 task=0.2649 sparsity=2.2648 train_acc=0.9336 gates_open=38.1% (17s) | val acc 1.0000
[23:36:59] epoch 96/150 kl=0.1327 task=0.1326 sparsity=2.2562 train_acc=0.9648 gates_open=37.9% (17s) | val acc 1.0000
[23:37:25] epoch 97/150 kl=0.0279 task=0.0279 sparsity=2.2475 train_acc=0.9863 gates_open=37.9% (17s) | val acc 1.0000
[23:37:51] epoch 98/150 kl=0.0016 task=0.0016 sparsity=2.2388 train_acc=1.0000 gates_open=37.7% (17s) | val acc 1.0000
[23:38:17] epoch 99/150 kl=0.1635 task=0.1635 sparsity=2.2298 train_acc=0.9629 gates_open=37.7% (17s) | val acc 1.0000
[23:38:43] epoch 100/150 kl=0.0712 task=0.0713 sparsity=2.2214 train_acc=0.9844 gates_open=37.6% (17s) | val acc 1.0000
saved masks/sections/sec_03_step_1_word.ep100.pt | gates open: 263/700 (37.6%)
[23:39:10] epoch 101/150 kl=0.0832 task=0.0831 sparsity=2.2127 train_acc=0.9785 gates_open=37.4% (17s) | val acc 1.0000
[23:39:36] epoch 102/150 kl=0.0891 task=0.0890 sparsity=2.2041 train_acc=0.9785 gates_open=37.0% (17s) | val acc 1.0000
[23:40:02] epoch 103/150 kl=0.0018 task=0.0017 sparsity=2.1958 train_acc=1.0000 gates_open=36.9% (17s) | val acc 1.0000
[23:40:28] epoch 104/150 kl=0.2572 task=0.2572 sparsity=2.1871 train_acc=0.9688 gates_open=36.9% (17s) | val acc 1.0000
[23:40:54] epoch 105/150 kl=0.0080 task=0.0079 sparsity=2.1785 train_acc=1.0000 gates_open=36.9% (17s) | val acc 1.0000
[23:41:20] epoch 106/150 kl=0.0303 task=0.0301 sparsity=2.1701 train_acc=0.9824 gates_open=36.6% (17s) | val acc 1.0000
[23:41:47] epoch 107/150 kl=0.2894 task=0.2894 sparsity=2.1622 train_acc=0.9688 gates_open=36.6% (17s) | val acc 1.0000
