model,model_short,task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.88,42,500,0.01,32,261.0962550640106,1.0,4.617788461538462,0.8402366863905325,2.7239275147928996,0.8379451593703772,0.6538461538461539,0.1597633136094675,9.04346160888672,1.65361887216568,9.675097274780274,2.757848024368286,36.09505059205201,97.22953705952085,26958780,973078528,4.263699542191955,100.0,0,1,0.0,16,16,81.25,3,16,81.25,3,16,98.046875,10,512,98.81591796875,388,32768,93.99795532226562,7867,131072,91.845703125,2672,32768,3.036130428314209,3.036306858062744,0.4888306260108948,0.36080196499824524,1.2906674146652222,1.4576642513275146,9.67039680480957
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.9,42,500,0.01,32,261.09871196746826,1.0,4.617788461538462,0.8195266272189349,2.304733727810651,0.8781535583134938,0.6272189349112426,0.18047337278106512,8.779215812683105,1.7143602132797242,9.230570983886718,3.0026633501052857,41.75135449256804,97.60486812427126,23306514,973078528,4.3181021064951555,100.0,0,1,0.0,16,16,81.25,3,16,81.25,3,16,98.046875,10,512,98.8800048828125,367,32768,94.7418212890625,6892,131072,92.5750732421875,2433,32768,3.0328807830810547,3.032094955444336,0.4510732889175415,0.32601165771484375,1.080182433128357,1.3046016693115234,9.226844787597656
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.93,42,500,0.01,32,260.81104135513306,1.0,4.617788461538462,0.7366863905325444,1.7074704142011834,0.9528370242147051,0.5798816568047337,0.26331360946745563,8.360751152038574,1.800824236869812,8.598749923706055,3.3979403495788576,53.85406703476705,98.14313002701464,18068803,973078528,4.398589024120473,100.0,0,1,0.0,16,16,81.25,3,16,81.25,3,16,98.2421875,9,512,99.017333984375,322,32768,95.84121704101562,5451,131072,93.56689453125,2108,32768,3.019339084625244,3.0194733142852783,0.37993571162223816,0.2570028305053711,0.8093662261962891,1.1118212938308716,8.596939086914062
meta-llama/Llama-3.2-1B,Llama-3.2-1B,gp,0.95,42,500,0.01,32,260.84956073760986,1.0,4.617788461538462,0.07988165680473373,-3.8276627218934913,3.1536973580806213,0.07692307692307693,0.9201183431952663,1.9294766664505005,3.805629920959473,1.407587742805481,8.039737319946289,inf,100.0,0,973078528,4.700860824542146,100.0,0,1,0.0,16,16,100.0,0,16,100.0,0,16,100.0,0,512,100.0,0,32768,100.0,0,131072,100.0,0,32768,0.11048681288957596,0.05974740535020828,0.2507384419441223,0.18579316139221191,0.3482702076435089,0.44706296920776367,1.4020990133285522
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.7,42,500,0.01,32,1138.5557460784912,1.0,5.808390625,0.834,2.99755859375,0.952024658203125,0.416,0.16600000000000004,31.06772886003767,0.4172165095806122,43.813895089285715,0.9094587053571429,15.815370806809506,93.67703728091257,441299919,6979321856,5.3792307000162385,100.0,0,1,0.0,32,32,71.875,9,32,43.75,18,32,95.703125,44,1024,96.533203125,4544,131072,86.50360107421875,61915,458752,76.4984130859375,30804,131072,9.045101165771484,17.99169158935547,1.8692606687545776,1.6701093912124634,5.200538635253906,8.019850730895996,43.796546936035156
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.73,42,500,0.01,32,1138.721432685852,1.0,5.808390625,0.806,2.7359453125,1.01149072265625,0.408,0.19399999999999995,31.596207209995814,0.43000899255275726,42.78447559901646,0.9164341517857143,16.87431380330504,94.07383309533964,413606262,6979321856,5.480898522376292,100.0,0,1,0.0,32,32,71.875,9,32,43.75,18,32,95.80078125,43,1024,96.61788940429688,4433,131072,87.36615862165179,57958,458752,77.1728515625,29920,131072,8.996560096740723,17.989091873168945,1.7153449058532715,1.5783758163452148,4.768187046051025,7.721055030822754,42.768619537353516
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.75,42,500,0.01,32,1139.7195608615875,1.0,5.808390625,0.764,2.3146953125,1.0025908203125,0.402,0.236,32.093537739345,0.4207162324871336,42.272657666887554,1.1354631696428572,17.37532281096725,94.24471124433555,401680126,6979321856,5.525874834612684,100.0,0,1,0.0,32,32,71.875,9,32,43.75,18,32,95.8984375,42,1024,96.6522216796875,4388,131072,87.75700160435268,56165,458752,77.4993896484375,29492,131072,9.015571594238281,17.982440948486328,1.6559380292892456,1.4622266292572021,4.5722503662109375,7.568883895874023,42.257320404052734
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.78,42,500,0.01,32,1138.4100134372711,1.0,5.808390625,0.611,0.860796875,1.12930078125,0.361,0.389,31.948429925101145,0.4700129883629935,40.32187979561942,1.7907366071428572,16.849223668529834,94.06500845574416,414222162,6979321856,5.47859568909355,100.0,0,1,0.0,32,32,78.125,7,32,43.75,18,32,96.38671875,37,1024,96.9696044921875,3972,131072,87.18719482421875,58779,458752,76.3580322265625,30988,131072,7.0496697425842285,17.997392654418945,1.439723014831543,1.3193386793136597,4.632254123687744,7.872874736785889,40.31127166748047
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.8,42,500,0.01,32,1138.6486060619354,1.0,5.808390625,0.565,0.57621875,1.16387353515625,0.359,0.43500000000000005,32.34383692060198,0.5666433487619672,39.665750231061665,2.489536830357143,17.56775266542358,94.30775228314675,397280289,6979321856,5.542654632683228,100.0,0,1,0.0,32,32,78.125,7,32,43.75,18,32,96.484375,36,1024,97.052001953125,3864,131072,87.70337785993304,56411,458752,76.81427001953125,30390,131072,7.041017532348633,17.992088317871094,1.3150116205215454,1.2095513343811035,4.407508850097656,7.689605712890625,39.654788970947266
meta-llama/Llama-3.1-8B,Llama-3.1-8B,ioi,0.83,42,500,0.01,32,1138.2633678913116,1.0,5.808390625,0.223,-2.5284375,1.523927490234375,0.272,0.777,30.15005602155413,0.5846570900508335,35.71808842250279,2.3803013392857144,18.03878888064963,94.4563905780132,386906344,6979321856,5.582624384203477,100.0,0,1,0.0,32,32,84.375,5,32,46.875,17,32,97.265625,28,1024,97.49526977539062,3283,131072,87.87209647042411,55637,458752,77.97088623046875,28874,131072,5.044289588928223,16.992366790771484,1.0586459636688232,1.0224461555480957,4.291458606719971,7.301414966583252,35.71062469482422
