task,lambda_sparsity,seed,num_epochs,learning_rate,batch_size,training_time_seconds,baseline_accuracy,baseline_logit_diff,final_accuracy,final_logit_diff,final_kl_div,final_exact_match,accuracy_drop,metric_name,final_train_loss,final_train_kl,final_train_sparsity,final_train_task_loss,compression_ratio,reduction_percentage,active_prunable_params,total_prunable_params,effective_compression,pruned_pct_embedding,active_embedding,total_embedding,pruned_pct_layer_level,active_layer_level,total_layer_level,pruned_pct_attention_blocks,active_attention_blocks,total_attention_blocks,pruned_pct_mlp_blocks,active_mlp_blocks,total_mlp_blocks,pruned_pct_attention_heads,active_attention_heads,total_attention_heads,pruned_pct_attention_neurons,active_attention_neurons,total_attention_neurons,pruned_pct_mlp_hidden,active_mlp_hidden,total_mlp_hidden,pruned_pct_mlp_output,active_mlp_output,total_mlp_output,sparsity_attention_blocks,sparsity_mlp_blocks,sparsity_attention_heads,sparsity_attention_neurons,sparsity_mlp_hidden,sparsity_mlp_output,sparsity_total_sparsity
ioi,0.95,42,500,0.03,32,350.316468000412,1.0,3.307773834165528,0.8782249742002064,2.7708614809963357,0.3311398073346561,0.7337461300309598,0.1217750257997936,accuracy,0.5772218448775155,0.3130165593964713,0.5898918764931815,0.023474420819963728,2.6235559388651626,61.8837934733514,32405484,85017600,1.7319115936992027,0.0,1,1,0.0,12,12,41.66666666666667,7,12,8.333333333333332,11,12,71.52777777777779,41,144,78.92795138888889,1942,9216,44.91373697916667,20307,36864,38.07508680555556,5707,9216,7.447204113006592,10.971680641174316,4.26945161819458,3.715254068374634,7.911395072937012,8.15688419342041,0.5898871421813965
ioi,0.975,42,500,0.03,32,350.7774076461792,1.0,3.3072503388051415,0.8592132505175983,3.004412763607428,0.48908780516350864,0.7060041407867494,0.14078674948240166,accuracy,0.44932651094027926,0.44363283685275484,0.4487056050981794,0.029908571924482073,4.161381175067817,75.96951690003011,20430140,85017600,2.0781141351295864,0.0,1,1,0.0,12,12,50.0,6,12,16.666666666666664,10,12,78.47222222222221,31,144,84.78732638888889,1402,9216,63.894314236111114,13310,36864,55.533854166666664,4098,9216,6.032020568847656,9.975144386291504,2.947500705718994,2.43337345123291,5.236303329467773,5.682318687438965,0.44870367646217346
ioi,1.0,42,500,0.03,32,350.00649785995483,1.0,3.366103110041643,0.49533678756476685,-0.046089496513722475,3.7389984726905823,0.07046632124352331,0.5046632124352332,accuracy,0.0006243664871102997,5.37283638545445,0.0006243664871102997,1.7326957157679967,inf,100.0,0,85017600,3.1535615840376408,0.0,1,1,0.0,12,12,100.0,0,12,100.0,0,12,100.0,0,144,100.0,0,9216,100.0,0,36864,100.0,0,9216,0.005945475772023201,0.006032691337168217,0.006092401221394539,0.007779426872730255,0.011319758370518684,0.007782989647239447,0.0006243436364457011
gp,0.7,42,500,0.3,64,156.07905435562134,1.0,3.523095703125,0.9923076923076923,4.60251665848952,0.1305612184268494,0.9384615384615385,0.007692307692307665,accuracy,0.45820003747940063,0.06596652418375015,0.6130707263946533,0.030868558833996456,8.286917519839404,87.93278685825052,10259255,85017600,2.5030752401917544,0.0,1,1,0.0,12,12,0.0,12,12,16.666666666666664,10,12,66.66666666666666,48,144,83.59375,1512,9216,85.54144965277779,5330,36864,72.34157986111111,2549,9216,11.98006820678711,19.982648849487305,4.026965618133545,2.167489528656006,2.296466588973999,3.678931951522827,0.6129521727561951
gp,0.725,42,500,0.3,64,155.66606879234314,1.0,3.523095703125,0.9923076923076923,4.4376940066997825,0.1314395477046044,0.9384615384615385,0.007692307692307665,accuracy,0.4340917368729909,0.07900798320770264,0.5584080219268799,0.027340799570083618,9.12697709785497,89.04346982271906,9314979,85017600,2.551516834952935,0.0,1,1,0.0,12,12,8.333333333333332,11,12,25.0,9,12,70.13888888888889,43,144,85.17795138888889,1366,9216,86.85167100694444,4847,36864,74.98914930555556,2305,9216,10.989025115966797,17.98621940612793,3.7658376693725586,2.0429811477661133,2.0958824157714844,3.315171480178833,0.5582654476165771
gp,0.75,42,500,0.3,64,155.60999035835266,1.0,3.523095703125,0.9884615384615385,4.759656656705416,0.19422735708694044,0.9346153846153846,0.011538461538461497,accuracy,0.4010925789674123,0.08979722857475281,0.500767191251119,0.012271504111898443,10.144598618376918,90.14253754516713,8380578,85017600,2.601333529718836,0.0,1,1,0.0,12,12,0.0,12,12,41.66666666666667,7,12,70.13888888888889,43,144,85.08029513888889,1375,9216,89.57248263888889,3844,36864,79.28602430555556,1909,9216,11.98968505859375,14.007494926452637,3.6130025386810303,1.979356288909912,1.7017438411712646,2.7532496452331543,0.500618577003479
gp,0.775,42,500,0.3,64,155.69882535934448,1.0,3.523095703125,0.9923076923076923,4.348167727543758,0.18529731657785864,0.9038461538461539,0.007692307692307665,accuracy,0.3937722146511078,0.09339663634697597,0.478902002175649,0.007150743932773669,11.297988404284851,91.14886682286962,7525021,85017600,2.648683775444871,0.0,1,1,0.0,12,12,8.333333333333332,11,12,41.66666666666667,7,12,73.61111111111111,38,144,86.50173611111111,1244,9216,90.75520833333334,3408,36864,79.98046875,1845,9216,10.982577323913574,14.004280090332031,3.1948108673095703,1.7725142240524292,1.6390351057052612,2.883768320083618,0.4788471460342407
gp,0.8,42,500,0.3,64,155.762615442276,1.0,3.523095703125,0.9846153846153847,4.122872587350699,0.1796778892381833,0.9038461538461539,0.01538461538461533,accuracy,0.38013434410095215,0.10770376771688461,0.4445371826489766,0.014819171900550524,11.648485318479702,91.41519285418549,7298597,85017600,2.66150492546755,0.0,1,1,0.0,12,12,8.333333333333332,11,12,50.0,6,12,74.30555555555556,37,144,86.10026041666666,1281,9216,91.71549479166666,3054,36864,81.95529513888889,1663,9216,10.989859580993652,12.00986385345459,3.107107162475586,1.7969409227371216,1.4968448877334595,2.5972797870635986,0.44441521167755127
gp,0.825,42,500,0.3,64,155.55724620819092,1.0,3.523095703125,0.9807692307692307,3.9021485548753003,0.21986979171991922,0.8769230769230769,0.019230769230769273,accuracy,0.36545411745707196,0.10424352437257767,0.41715870300928753,0.01746049088736375,13.150320824605004,92.39562278869316,6465059,85017600,2.709792552171255,0.0,1,1,0.0,12,12,16.666666666666664,10,12,50.0,6,12,77.77777777777779,32,144,88.38975694444444,1070,9216,92.02202690972221,2941,36864,83.22482638888889,1546,9216,9.99781322479248,12.007043838500977,2.854736566543579,1.6112443208694458,1.2927900552749634,2.265920639038086,0.417076975107193
gp,0.85,42,500,0.3,64,155.671541929245,1.0,3.523095703125,0.9730769230769231,4.186772771982047,0.21339281534847732,0.8884615384615384,0.02692307692307694,accuracy,0.345773180325826,0.12297334273656209,0.3826374014218648,0.013902516919188201,14.110835425868968,92.91324737466124,6024987,85017600,2.735999895390731,0.0,1,1,0.0,12,12,0.0,12,12,66.66666666666666,4,12,74.30555555555556,37,144,86.72960069444444,1223,9216,94.62076822916666,1983,36864,87.3046875,1170,9216,11.982158660888672,8.02688980102539,3.1637070178985596,1.709456205368042,0.9492445588111877,1.7046514749526978,0.38244593143463135
